collab_id,project_upid,project_name,country,country_code,registry,methodology,role,org_name_raw,company_name_resolved,company_country,org_type,website,linkedin,contact_name,contact_role,contact_email,confidence,source_url,notes
C0024,UP-PH960427-4,"Tarlac Everlasting Farms, Inc. and Tarlac Sentra Farms, Inc. Methane Recovery and Electricity Generation Project",Philippines,PH,CDM,AMS-III.D.,verifier (VVB),Det Norske Veritas- CUK,,,,,,,,,,,
C0025,UP-MM000057-7,Mandalay Thaung Inn Myauk Inn Landfill Methane Recovery Project,Myanmar,MM,CDM,AMS-III.G. 10.0,developer,"Korea East-West Power Company, HANATECH",,,,,,,,,,,
C0026,UP-MM000057-7,Mandalay Thaung Inn Myauk Inn Landfill Methane Recovery Project,Myanmar,MM,CDM,AMS-III.G. 10.0,verifier (VVB),Korea Testing & Research Institute (KTR),,,,,,,,,,,
C0027,UP-MY062775-5,Composting of solid biomass waste separated from the Palm Oil Mill Effluent (POME) through the use of AVC Sludge Dewatering System at Banting Palm Oil Mill Sdn. Bhd.,Malaysia,MY,CDM,AMS-III.F. 5.0,developer,Brite-Tech Ventures Sdn. Bhd.,,,,,,,,,,,
C0028,UP-MY062775-5,Composting of solid biomass waste separated from the Palm Oil Mill Effluent (POME) through the use of AVC Sludge Dewatering System at Banting Palm Oil Mill Sdn. Bhd.,Malaysia,MY,CDM,AMS-III.F. 5.0,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),,,,,,,,,,,
C0029,UP-MY062735-4,Kunak Jaya Bio Energy Plant,Malaysia,MY,CDM,ACM0006 4.0,developer,TSH-Wilmar (BF) Sdn Bhd,,,,,,,,,,,
C0030,UP-MY062735-4,Kunak Jaya Bio Energy Plant,Malaysia,MY,CDM,ACM0006 4.0,verifier (VVB),Det Norske Veritas- CUK,,,,,,,,,,,
C0031,UP-ID000336-9,Semarang MSW Composting Project,Indonesia,ID,CDM,AM0025 13.0.0,developer,PT. Narpati Agung Karya Persada Lestari,,,,,,,,,,,
C0032,UP-ID000336-9,Semarang MSW Composting Project,Indonesia,ID,CDM,AM0025 13.0.0,verifier (VVB),RWTÜV GmbH,,,,,,,,,,,
C0033,UP-VN001231-3,"DakRTih Hydropower Project, Vietnam",Vietnam,VN,CDM,ACM0002 11.0,developer,Construction Corporation No 1 Company Ltd.,,,,,,,,,,,
C0034,UP-VN001231-3,"DakRTih Hydropower Project, Vietnam",Vietnam,VN,CDM,ACM0002 11.0,verifier (VVB),Swiss Association for Quality and Management Systems,,,,,,,,,,,
C0035,UP-ID000269-0,"Hutama Green Energy Methane Capture and Utilization Project at Starch Tapioca Bandar Mataram, Central Lampung, Indonesia",Indonesia,ID,CDM,ACM0014 4.1.0,developer,PT. Hutama Global Energy,,,,,,,,,,,
C0036,UP-ID000269-0,"Hutama Green Energy Methane Capture and Utilization Project at Starch Tapioca Bandar Mataram, Central Lampung, Indonesia",Indonesia,ID,CDM,ACM0014 4.1.0,verifier (VVB),RWTÜV GmbH,,,,,,,,,,,
C0037,UP-TH966726-1,"C.P.A.T tapioca processing wastewater biogas extraction and utilization project, Nakhonratchasima Province, Kingdom of Thailand",Thailand,TH,CDM,AM0022,developer,Corn Products Amardass (Thailand) Ltd.,,,,,,,,,,,
C0038,UP-TH966726-1,"C.P.A.T tapioca processing wastewater biogas extraction and utilization project, Nakhonratchasima Province, Kingdom of Thailand",Thailand,TH,CDM,AM0022,verifier (VVB),Det Norske Veritas- CUK,,,,,,,,,,,
C0039,UP-TH966782-2,Sangpetch Tapioca Flour Wastewater Treatment and Energy Generation Project in Thailand,Thailand,TH,CDM,AMS-I.C.; AMS-I.D.; AMS-III.H.,developer,"Mama Development Co.,Ltd",,,,,,,,,,,
C0040,UP-TH966782-2,Sangpetch Tapioca Flour Wastewater Treatment and Energy Generation Project in Thailand,Thailand,TH,CDM,AMS-I.C.; AMS-I.D.; AMS-III.H.,verifier (VVB),SGS United Kingdom Limited (SGS),,,,,,,,,,,
C0041,UP-ID000355-5,Biogas recovery from wastewater treatment in PT. Umbul Mas Wisesa Palm Oil Mill,Indonesia,ID,CDM,AMS-III.H. 16.0,developer,PT Umbul Mas Wisesa,,,,,,,,,,,
C0042,UP-ID000355-5,Biogas recovery from wastewater treatment in PT. Umbul Mas Wisesa Palm Oil Mill,Indonesia,ID,CDM,AMS-III.H. 16.0,verifier (VVB),SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),,,,,,,,,,,
C0043,UP-MY062861-0,Maju Intan Biomass Energy Power Plant Project,Malaysia,MY,CDM,AMS-I.D. 17.0; AMS-III.E. 16.0,developer,Maju Intan Biomass Energy Sdn. Bhd.,,,,,,,,,,,
C0044,UP-MY062861-0,Maju Intan Biomass Energy Power Plant Project,Malaysia,MY,CDM,AMS-I.D. 17.0; AMS-III.E. 16.0,verifier (VVB),SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),,,,,,,,,,,
C0045,UP-ID000159-3,"Organic Waste Composting at PTS Palm Oil Mill, Indonesia",Indonesia,ID,CDM,AM0039,developer,PT. Prakarsa Tani Sejati,,,,,,,,,,,
C0046,UP-ID000159-3,"Organic Waste Composting at PTS Palm Oil Mill, Indonesia",Indonesia,ID,CDM,AM0039,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),,,,,,,,,,,
C0047,UP-VN001217-1,Song Ong Hydropower Project,Vietnam,VN,CDM,AMS-I.D. 16.0,developer,Song Ong Hydropower Joint Stock Company,,,,,,,,,,,
C0048,UP-VN001217-1,Song Ong Hydropower Project,Vietnam,VN,CDM,AMS-I.D. 16.0,verifier (VVB),RWTÜV GmbH,,,,,,,,,,,
C0049,UP-LA000058-1,Houay Lamphan Gnai Hydropower Project,Laos,LA,CDM,ACM0002,developer,"Electricite du Laos, Lao PDR",,,,,,,,,,,
C0050,UP-LA000058-1,Houay Lamphan Gnai Hydropower Project,Laos,LA,CDM,ACM0002,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),,,,,,,,,,,
C0051,UP-ID000300-1,"Methane Recovery in Wastewater Treatment and its utilization for Thermal Energy at PT Indah Kiat Pulp & Paper, Serang",Indonesia,ID,CDM,AMS-I.C. 19.0; AMS-III.H. 16.0,developer,"PT. Indah Kiat Pulp & Paper, Tbk",,,,,,,,,,,
C0052,UP-ID000300-1,"Methane Recovery in Wastewater Treatment and its utilization for Thermal Energy at PT Indah Kiat Pulp & Paper, Serang",Indonesia,ID,CDM,AMS-I.C. 19.0; AMS-III.H. 16.0,verifier (VVB),RINA Services S.p.A. (RINA),,,,,,,,,,,
C0053,UP-ID000331-4,Bontang N2O Abatement Project,Indonesia,ID,CDM,ACM0019 1.0.0,developer,PT Kaltim Nitrate Indonesia,,,,,,,,,,,
C0054,UP-ID000331-4,Bontang N2O Abatement Project,Indonesia,ID,CDM,ACM0019 1.0.0,verifier (VVB),RWTÜV GmbH,,,,,,,,,,,
C0055,UP-TH966719-0,Biomass thermal and electricity generation project for Thai Urethane Plastic,Thailand,TH,CDM,AMS-I.C.; AMS-I.D.,developer,"TUP Energy Co., Ltd.",,,,,,,,,,,
C0056,UP-TH966719-0,Biomass thermal and electricity generation project for Thai Urethane Plastic,Thailand,TH,CDM,AMS-I.C.; AMS-I.D.,verifier (VVB),TÜV SÜD South Asia Private Limited (TÜV SÜD),,,,,,,,,,,
C0057,UP-TH967635-9,Introduction of 1.3MW Solar Power System to Food Factories,Thailand,TH,JCM,TH_AM001 Ver3.0,developer,"Primaham Foods (Thailand) Co., Ltd.",,,,,,,,,,,
C0058,UP-TH967635-9,Introduction of 1.3MW Solar Power System to Food Factories,Thailand,TH,JCM,TH_AM001 Ver3.0,verifier (VVB),Japan Quality Assurance Organization,,,,,,,,,,,
C0059,UP-ID000251-0,"Silau-2 small hydro power plant in North Sumatera Province, Indonesia",Indonesia,ID,CDM,AMS-I.D. 16.0,developer,PT. Bersaudara Simalungun Energi,,,,,,,,,,,
C0060,UP-ID000251-0,"Silau-2 small hydro power plant in North Sumatera Province, Indonesia",Indonesia,ID,CDM,AMS-I.D. 16.0,verifier (VVB),Bureau Veritas Certification Holding SAS (BVCH),,,,,,,,,,,
