collab_id,project_upid,project_name,country,country_code,registry,methodology,role,org_name_raw,company_name_resolved,company_country,org_type,website,linkedin,contact_name,contact_role,contact_email,confidence,source_url,notes
C0014,UP-VN001131-4,Methane Recovery and Utilization Project at Ha Nam EMJ Joint Stock Company,Vietnam,VN,CDM,AMS-I.C.; AMS-III.H.,verifier (VVB),RWTÜV GmbH,RWTUV,,certification body,https://www.rwtuev.de/en/,https://vn.linkedin.com/company/troxmalaysia?trk=public_profile_experience-item_profile-section-card_subtitle-click,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan). Validated DOE.
C0015,UP-ID000160-0,"Organic Waste Composting at PTS Palm Oil Mill, Indonesia",Indonesia,ID,CDM,AM0039,developer,PT. Prakarsa Tani Sejati,PT. Prakarsa Tani Sejati,Indonesia,private company,https://www.bloomberg.com/profile/company/340221Z:IJ,https://id.linkedin.com/company/revolutionmindindonesia,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan).
C0016,UP-ID000160-0,"Organic Waste Composting at PTS Palm Oil Mill, Indonesia",Indonesia,ID,CDM,AM0039,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),TUEV-RHEIN,,certification body,https://www.tuv.com/world/en/,,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan). Validated DOE.
C0017,UP-MY062756-8,"KKSL Lekir Biogas Project, Project BCM07_SLK_14",Malaysia,MY,CDM,AMS-III.H. 6.0,developer,Kilang Kelapa Sawit Lekir Sdn. Bhd,"Kilang Kelapa Sawit Lekir Sdn. Bhd
BioX Carbon Axis Sdn Bhd",Malaysia,private company,https://www.certipedia.com/secure_area/quality_mark_documents/7754?locale=de,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 1888.0),Matched via IGES CDM DB (Ref: 1888.0).
C0018,UP-MY062756-8,"KKSL Lekir Biogas Project, Project BCM07_SLK_14",Malaysia,MY,CDM,AMS-III.H. 6.0,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),TUEV-RHEIN,,certification body,https://www.tuv.com/world/en/,,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 1888.0),Matched via IGES CDM DB (Ref: 1888.0). Validated DOE.
C0019,UP-TH967621-5,Introduction of 0.97 MW Rooftop Solar Power System for Fishery Net Factory,Thailand,TH,JCM,TH_AM001 Ver2.0,developer,"Siam Brothers Corp., Ltd.",,,,,,,,,,,
C0020,UP-TH967621-5,Introduction of 0.97 MW Rooftop Solar Power System for Fishery Net Factory,Thailand,TH,JCM,TH_AM001 Ver2.0,verifier (VVB),EPIC Sustainability Services Private Limited (EPIC),,,,,,,,,,,
C0021,UP-KH000063-9,Introduction of 1MW Solar Power System and High Efficiency Centrifugal Chiller in Large Shopping Mall,Cambodia,KH,JCM,KH_AM002 Ver1.0; KH_AM003 Ver1.0,developer,"Aeon Mall (Cambodia) Co., Ltd.",,,,,,,,,,,
C0022,UP-KH000063-9,Introduction of 1MW Solar Power System and High Efficiency Centrifugal Chiller in Large Shopping Mall,Cambodia,KH,JCM,KH_AM002 Ver1.0; KH_AM003 Ver1.0,verifier (VVB),Japan Management Association,,,,,,,,,,,
C0023,UP-PH960427-4,"Tarlac Everlasting Farms, Inc. and Tarlac Sentra Farms, Inc. Methane Recovery and Electricity Generation Project",Philippines,PH,CDM,AMS-III.D.,developer,"Tarlac Everlasting Farms, Inc","Tarlac Everlasting Farms, Inc
Philippine BioSciences Co., Inc. (PhilBIO)
Tarlac Sentra Farms, Inc",Philippines,private company,https://www.facebook.com/tarlacorganicproducerspgs2022/posts/-we-have-some-incredible-news-to-share-the-tarlac-organic-producers-pgs-associat/244737535011065/,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan).
